ID;Species;Location;Date.Collected;NoIndiv;Dry.Mass.mg;Dry.Mass.mg.Average;Dry.Mass.mg.Range.;DryMass;Body.Length.mm;Body.Length.mm.Average;Body.Length.mm.Range;BodyL;Head.Width.mm;Head.Width.mm.Average;Head.Width.mm.Range;HeadW;d13C;C Amount (ug);d15N;N.Amount.ug;Issues
N237-N239-N241-N242-N244-N245-N246-N247-N252-N253-N254-N255-N256-N257-N259-N261-N263;Notonecta;DC108_1;7/15/2015;17;0.01,0.03,0.04,0.03,0.01,0.04,0.05,0.04,0.02,0.05,0.05,0.03,0.05,0.01,0.04,0.04,0.03;0.033529412;0.04;0.033529412;1.382,1.202,1.067,1.032,1.286,1.227,1.143,1.204,1.252,1.229,1.32,1.29,1.293,1.339,1.224,0.981,1.311;1.222.470.588;0.401;1.222;NA;NA;NA;NA;-34.51;247.91;3.33;71.95;
BU326-BU327-BU328-BU331-BU332-BU333-BU334-BU335-BU336-BU337-BU344-BU345-BU346-BU347-BU348;Buenoa;DC108_1;7/15/2015;15;0.01,0.01,0.07,0.01,0.05,0.06,0.05,0.01,0.01,0.08,0.02,0.01,0.08,0.05,0.02;0.036;0.07;0.036;1.309,1.287,1.187,1.087,1.476,1.246,1.108,1.219,1.185,1.270,1.408,1.324,1.353,1.178,1.198;1.255.666.667;0.389;1.255;NA;NA;NA;NA;-34.78;319.01;3.92;89.72;
BU545-BU547-BU551-BU556-BU557-BU558-BU560-BU564-BU566-BU567-BU568-BU569-BU570-BU571;Buenoa;DC108_1;7/15/2015;14;0.02,0.08,0.08,0.05,0.06,0.01,0.02,0.02,0.02,0.01,0.07,0.01,0.06,0.06;0.040714286;0.07;0.040714286;1.299,1.600,1.582,1.326,1.246,1.284,1.289,1.293,1.379,1.039,1.128,1.127,1.208,1.214;1.286.714.286;0.561;1.286;NA;NA;NA;NA;-34.63;337.36;2.77;98.75;
BU573-BU577-BU578-BU580-BU583-BU584-BU585-BU591-BU595-BU598-BU600-BU604-BU607;Buenoa;DC108_1;7/15/2015;13;0.06,0.07,0.08,0.06,0.07,0.07,0.06,0.09,0.06,0.06,0.06,0.07,0.09;0.069230769;0.03;0.069230769;1.279,1.331,1.214,1.487,1.337,1.229,1.166,1.379,1.645,1.172,1.029,1.278,1.345;1.299.307.692;0.616;1.299;NA;NA;NA;NA;-35.17;371.96;2.83;102.71;
BU247-BU248-BU249-BU250-BU251-BU252-BU253-BU254;Buenoa;DC108_1;7/15/2015;8;0.9,0.07,0.09,0.05,0.06,0.07,0.01,0.01;0.1575;0.89;0.1575;1.329,1.084,1.655,1.22,1.350,1.413,1.308,1.266;1.328.125;0.571;1.328;NA;NA;NA;NA;-35.45;234.54;2.73;66.06;
BU429-BU431-BU438-BU439-BU440-BU441-BU444-BU446-BU448-BU449-BU452-BU453-BU454-BU456-BU457-BU458-BU459;Buenoa;DC108_1;7/15/2015;17;0.04,0.06,0.04,0.05,0.03,0.05,0.01,0.05,0.03,0.12,0.02,0.01,0.03,0.06,0.07,0.07,0.01;0.044117647;0.11;0.044117647;1.274,1.747,1.259,1.377,1.469,1.370,1.254,1.355,1.612,2.118,1.252,1.353,1.358,1.326,1.273,1.264,1.193;1.403.176.471;0.371;1.403;NA;NA;NA;NA;-35.2;426.14;3.22;126.38;
BU485-BU501-BU503-BU507-BU510-BU512-BU513-BU514-BU518-BU519-BU520-BU524;Buenoa;DC108_1;7/15/2015;12;0.04,0.04,0.03,0.05,0.06,0.06,0.05,0.03,0.03,0.05,0.04,0.07;0.045833333;0.04;0.045833333;1.473,1.617,1.617,1.296,1.423,1.486,1.357,1.320,1.181,1.364,1.249,1.46;1.403.583.333;0.436;1.403;NA;NA;NA;NA;-35.44;313.61;3.26;92.01;
BU292-BU294--BU295-BU-296-BU297-BU298-BU299-BU300;Buenoa;DC108_1;7/15/2015;8;0.06,0.16,0.01,0.12,0.03,0.01,0.06,0.02;0.05875;0.15;0.05875;1.648,1.863,1.203,1.484,1.489,1.31,1.325,1.186;1.431.285.714;0.677;1.431;NA;NA;NA;NA;-35.43;290.97;3.15;81.27;
BU421-BU466-BU468-BU474-BU486-BU487-BU508;Buenoa;DC108_1;7/15/2015;7;0.06,0.08,0.06,0.08,0.07,0.07,0.08;0.071428571;0.02;0.071428571;1.221,1.286,1.358,2.175,1.538,1.488,1.608;1.524.857.143;0.954;1.524;NA;NA;NA;NA;-35.48;260.82;2.76;77.4;
BU427-BU434-BU435-BU436-BU447-BU451-BU455;Buenoa;DC108_1;7/15/2015;7;0.1,0.11,0.1,0.11,0.1,0.1,0.1;0.102857143;0.01;0.102857143;1.392,1.479,1.546,1.556,1.622,1.517,1.679;1.541.571.429;0.287;1.541;NA;NA;NA;NA;-35.08;243.61;3.24;71.1;
