sample;species;site;year;date;site_type2;site_type;batch;d13C;d15N
AC11;MG;A;2014;10;I;I;4;-23,7007954;4,713064586
AC13;MG;A;2014;12;I;I;4;-23,08437393;3,870953954
AC14;MG;A;2014;12;I;I;4;-23,40000274;2,225964675
AC17;MG;A;2014;12;I;I;4;-23,45819109;3,65100561
AC21;MG;A;2014;12;I;I;6;-23,67106488;7,134982481
AC27;MG;A;2014;12;I;I;4;-24,44526893;4,514093582
AC40;MG;A;2014;12;I;I;4;-23,32703659;3,951309892
AC41;MG;A;2014;12;I;I;5;-22,55310942;4,731417845
AC44;MG;A;2014;12;I;I;5;-23,64086741;3,826762686
AC47;MG;A;2014;12;I;I;4;-23,30176505;3,604759564
AC70;MG;A;2014;12;I;I;4;-23,14504282;3,987181347
AC71;MG;A;2014;12;I;I;4;-22,99855481;2,524124591
AC77;MG;A;2014;12;I;I;4;-23,12258243;3,8861638
BC01;MG;B;2014;15;M;ME;5;-23,20718736;4,915404632
BC02;MG;B;2014;15;M;ME;4;-22,93655456;5,023849942
BC04;MG;B;2014;15;M;ME;4;-23,54635576;3,368973651
BC05;MG;B;2014;18;M;ME;5;-25,50220275;7,244489372
BC07;MG;B;2014;15;M;ME;4;-23,31465754;4,203381044
BC10;MG;B;2014;15;M;ME;4;-24,88715367;1,923263885
BC21;MG;B;2014;18;M;ME;5;-23,41888243;6,732882261
BC40;MG;B;2014;16;M;ME;4;-23,82331537;5,795283335
BC41;MG;B;2014;18;M;ME;5;-22,92386934;3,291042767
BC70;MG;B;2014;16;M;ME;5;-23,04245129;4,96171942
CC01;MG;C;2014;19;I;I;4;-23,41663513;6,580646356
CC04;MG;C;2014;20;I;I;4;-24,51502285;7,075127211
CC07;MG;C;2014;21;I;I;6;-23,34870547;6,502486545
DC01;MG;D;2014;23;M;MW;5;-24,12709234;7,267307143
DC02;MG;D;2014;23;M;MW;5;-23,54622844;4,165339535
DC04;MG;D;2014;23;M;MW;5;-23,01457822;5,884530914
DC07;MG;D;2014;23;M;MW;5;-23,50059002;3,954697664
DC10;MG;D;2014;23;M;MW;5;-22,56431722;3,527746748
DC11;MG;D;2014;26;M;MW;5;-23,42792885;5,088904054
DC20;MG;D;2014;23;M;MW;5;-23,3007507;4,32788571
DC21;MG;D;2014;26;M;MW;5;-23,26005315;4,10167798
DC40;MG;D;2014;26;M;MW;5;-22,5967824;3,283937394
DC41;MG;D;2014;26;M;MW;5;-22,89974438;4,044755206
DC43;MG;D;2014;26;M;MW;5;-24,1828473;7,282488471
DC70;MG;D;2014;26;M;MW;5;-22,75047295;8,371515414
DC71;MG;D;2014;26;M;MW;5;-23,63601632;5,85913204
EC01;MG;E;2014;31;I;I;5;-26,06607606;9,155731846
EC02;MG;E;2014;31;I;I;6;-23,81252231;5,268302323
EC04;MG;E;2014;31;I;I;5;-24,48197257;6,236743712
EC07;MG;E;2014;31;I;I;5;-23,4530979;5,874572624
EC10;MG;E;2014;31;I;I;5;-23,36438576;7,319488123
EC11;MG;E;2014;33;I;I;5;-23,92738451;5,395708138
EC12;MG;E;2014;33;I;I;5;-24,27249503;7,622180455
EC20;MG;E;2014;33;I;I;5;-24,08612308;5,814790754
EC41;MG;E;2014;33;I;I;6;-23,75861635;5,370981253
EC70;MG;E;2014;33;I;I;5;-23,60270583;7,143749058
FC01;MG;F;2014;37;M;ME;4;-23,33848714;9,198527793
FC02;MG;F;2014;37;M;ME;4;-23,27944339;9,222077265
FC04;MG;F;2014;37;M;ME;4;-23,06848336;3,325710576
FC07;MG;F;2014;37;M;ME;4;-23,60457405;5,621693163
GC02;MG;G;2014;39;I;I;6;-23,35057214;6,355546222
GC04;MG;G;2014;39;I;I;6;-23,92107535;6,36352348
GC07;MG;G;2014;39;I;I;5;-25,16010808;9,567554902
GC10;MG;G;2014;39;I;I;5;-23,6708659;5,332737541
GC12;MG;G;2014;39;I;I;5;-23,15583239;6,282129443
GC20;MG;G;2014;39;I;I;5;-23,51509976;6,339121657
GC21;MG;G;2014;39;I;I;5;-22,84848432;6,393334254
GC27;MG;G;2014;40;I;I;5;-23,65404687;3,064360107
GC40;MG;G;2014;39;I;I;6;-23,99041466;5,517879828
GC77;MG;G;2014;40;I;I;5;-23,8731509;2,987269916
HC01;MG;H;2014;43;M;MW;5;-24,2848885;7,402659584
HC02;MG;H;2014;43;M;MW;5;-23,08471891;4,334396678
HC04;MG;H;2014;47;M;MW;5;-24,90515569;7,066924556
HC07;MG;H;2014;47;M;MW;5;-24,17437506;7,191253201
HC10;MG;H;2014;47;M;MW;5;-23,3466618;3,35089664
HC11;MG;H;2014;48;M;MW;5;-24,83446506;6,966533952
HC20;MG;H;2014;47;M;MW;5;-23,20775263;3,045191075
HC21;MG;H;2014;48;M;MW;5;-23,45730324;5,020832747
HC40;MG;H;2014;47;M;MW;5;-23,67234848;6,049099614
HC70;MG;H;2014;48;M;MW;5;-24,51793547;8,089502432
IC02;MG;I;2014;49;I;I;6;-23,85821642;5,754471083
IC04;MG;I;2014;49;I;I;6;-22,95902118;6,645913753
IC05;MG;I;2014;51;I;I;6;-23,88926405;7,779557598
IC07;MG;I;2014;49;I;I;6;-24,49283156;6,270976316
IC10;MG;I;2014;49;I;I;6;-23,79735733;8,540326112
IC11;MG;I;2014;49;I;I;6;-23,21062423;6,444093075
IC14;MG;I;2014;51;I;I;6;-24,68392997;5,964740459
IC41;MG;I;2014;51;I;I;6;-23,88284447;5,747372947
IC44;MG;I;2014;52;I;I;6;-23,66054787;6,090679071
IC70;MG;I;2014;49;I;I;6;-23,31842325;5,995323406
IC71;MG;I;2014;51;I;I;6;-23,72973792;7,059334607
JC01;MG;J;2014;54;I;I;6;-23,32328767;7,141716964
JC02;MG;J;2014;54;I;I;6;-24,08155264;8,312549354
JC04;MG;J;2014;54;I;I;6;-24,80439284;9,582102676
JC07;MG;J;2014;54;I;I;6;-24,34766025;9,803565794
JC10;MG;J;2014;54;I;I;6;-24,5964016;8,898259667
JC11;MG;J;2014;55;I;I;6;-24,59072857;10,21508854
JC12;MG;J;2014;55;I;I;6;-24,74790651;9,379056842
JC20;MG;J;2014;55;I;I;6;-24,6678298;9,476853979
JC22;MG;J;2014;55;I;I;6;-22,68391191;6,250479244
JC70;MG;J;2014;55;I;I;6;-23,35226247;4,83483379
AAC11;MG;A;2015;10;I;I;4;-23,65269702;1,896567227
AAC17;MG;A;2015;10;I;I;4;-23,47644992;0,479730666
AAC21;MG;A;2015;10;I;I;6;-23,51292612;1,702099426
AAC22;MG;A;2015;11;I;I;6;-24,03091834;2,649613464
AAC24;MG;A;2015;11;I;I;6;-23,24502205;2,101306833
BC14;MG;B;2015;52;M;ME;4;-23,71822328;6,854183139
BC17;MG;B;2015;52;M;ME;4;-23,61066529;6,541110646
BC22;MG;B;2015;52;M;ME;5;-23,74704545;7,828839561
BC24;MG;B;2015;52;M;ME;4;-23,67527222;7,17531436
BC42;MG;B;2015;52;M;ME;4;-23,73225863;7,603040842
BC44;MG;B;2015;52;M;ME;5;-23,17185248;9,001262929
BC52;MG;B;2015;53;M;ME;4;-23,07283712;5,797337943
BC54;MG;B;2015;53;M;ME;4;-23,48450739;3,949784434
BC57;MG;B;2015;53;M;ME;5;-24,19944576;9,577854331
BC61;MG;B;2015;53;M;ME;4;-23,5422688;8,625596702
BC62;MG;B;2015;53;M;ME;5;-23,45718651;4,462707475
BC72;MG;B;2015;52;M;ME;5;-23,40972389;7,395998857
BC81;MG;B;2015;53;M;ME;5;-25,00835351;5,979896232
DC15;MG;D;2015;45;M;MW;6;-24,01779325;5,213720526
DC25;MG;D;2015;45;M;MW;6;-23,01686268;5,329463044
DC28;MG;D;2015;45;M;MW;6;-23,37976379;3,25108674
DC29;MG;D;2015;46;M;MW;5;-23,76588422;4,803314697
DC31;MG;D;2015;46;M;MW;5;-23,30132858;5,111304245
DC32;MG;D;2015;46;M;MW;5;-23,50915083;5,923396712
DC49;MG;D;2015;46;M;MW;5;-23,18676944;6,887864494
DC73;MG;D;2015;45;M;MW;6;-23,20348206;5,497797819
DC75;MG;D;2015;45;M;MW;6;-25,24036325;0,778177428
DC79;MG;D;2015;46;M;MW;6;-23,21572106;6,739220372
